Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
07-APR-2020,55.3025,55.3025,49.9425,51.8,55.3025,-3.50,-6.33
08-APR-2020,51.8,53.7325,46.975,52.2425,51.8,0.44,0.85
09-APR-2020,52.2425,52.2425,46.9025,49.745,52.2425,-2.50,-4.78
13-APR-2020,49.745,52.4925,43.635,51.4575,49.745,1.71,3.44
15-APR-2020,51.4575,51.4575,44.6475,49.735,51.4575,-1.72,-3.35
16-APR-2020,49.735,49.735,42.255,46.095,49.735,-3.64,-7.32
17-APR-2020,46.095,46.095,40.305,42.5925,46.095,-3.50,-7.60
20-APR-2020,42.5925,44.0375,40.295,43.455,42.5925,0.86,2.03
21-APR-2020,43.455,45.9625,36.215,45.1975,43.455,1.74,4.01
22-APR-2020,45.1975,45.425,40.465,42.8225,45.1975,-2.38,-5.25
23-APR-2020,42.8225,42.8225,36.9975,39.23,42.8225,-3.59,-8.39
24-APR-2020,39.23,39.9475,34.9825,39.1175,39.23,-0.11,-0.29
27-APR-2020,39.1175,40.1675,35.2125,38.0425,39.1175,-1.08,-2.75
28-APR-2020,38.0425,41.9125,35.0675,35.355,38.0425,-2.69,-7.06
29-APR-2020,35.355,35.355,31.4825,33.8375,35.355,-1.52,-4.29
30-APR-2020,33.8375,34.2525,32.535,33.9875,33.8375,0.15,0.44
04-MAY-2020,33.9875,43.92,33.9875,43.67,33.9875,9.68,28.49
05-MAY-2020,43.67,43.865,38.1475,43.6075,43.67,-0.06,-0.14
06-MAY-2020,43.6075,43.63,40.1975,41.2475,43.6075,-2.36,-5.41
07-MAY-2020,41.2475,41.715,39.6575,39.93,41.2475,-1.32,-3.19
08-MAY-2020,39.93,39.93,36.5475,38.4075,39.93,-1.52,-3.81
11-MAY-2020,38.4075,38.495,36.9475,38.0375,38.4075,-0.37,-0.96
12-MAY-2020,38.0375,38.8125,35.245,38.205,38.0375,0.17,0.44
13-MAY-2020,38.205,39.0475,33.44,38.835,38.205,0.63,1.65
14-MAY-2020,38.835,38.835,35.795,38.1825,38.835,-0.65,-1.68
15-MAY-2020,38.1825,38.46,34.055,38.0175,38.1825,-0.16,-0.43
18-MAY-2020,38.0175,41.245,27.935,40.915,38.0175,2.90,7.62
19-MAY-2020,40.915,40.915,37.9525,39.4525,40.915,-1.46,-3.57
20-MAY-2020,39.4525,39.4525,34.095,35.81,39.4525,-3.64,-9.23
21-MAY-2020,35.81,35.81,32.575,32.985,35.81,-2.83,-7.89
